Município,Bragança,"88,5","86,7","97,9","94,6","93,8","96,5","97,1","98,0","96,5",
Município,Macedo de Cavaleiros,"46,0","51,1","63,0","65,8","65,7","69,5","75,3","74,7","73,5",
Município,Miranda do Douro,"49,7","58,1","57,6","63,1","65,2","68,3","75,0","75,8","72,7",
Município,Mirandela,"57,9","65,2","67,7","71,4","73,1","80,4","83,4","84,5","83,0",
Município,Mogadouro,"35,0","46,8","47,3","53,9","56,5","59,9","68,8","67,7","67,9",
Município,Vila Flor,"34,8","37,9","46,0","50,7","54,4","60,2","65,9","63,1","62,4",
Município,Vimioso,"47,3","48,5","48,4","51,2","52,9","54,4","63,7","62,6","62,3",
Município,Vinhais,"29,6","39,9","41,8","45,9","49,0","51,3","59,8","58,3","57,9",
Município,Alcobaça,"81,8","74,4","73,6","82,8","82,7","83,4","86,0","86,3","86,7",
Município,Alenquer,"64,6","80,5","85,7","93,0","90,7","92,6","91,0","89,7","89,2",
Município,Arruda dos Vinhos,"70,8","64,6","74,8","91,0","99,0","93,4","92,3","90,4","91,0",
Município,Bombarral,"75,4","70,8","66,3","75,9","75,4","77,7","81,1","81,5","83,5",
Município,Cadaval,"49,5","60,5","59,3","65,2","66,4","71,1","74,2","71,3","70,8",
Município,Caldas da Rainha,"110,7","97,1","101,3","99,9","98,7","100,5","98,1","98,3","98,1",
Município,Lourinhã,"62,4","63,5","70,2","78,6","78,9","77,8","79,3","78,0","78,3",
Município,Nazaré,"87,6","63,1","86,5","89,0","87,4","84,6","89,3","85,7","85,6",
Município,Óbidos,"48,7","49,7","61,2","75,8","77,5","78,2","79,9","77,7","75,5",
Município,Peniche,"83,3","66,2","79,7","87,4","86,1","86,3","86,7","85,9","85,9",
Município,Sobral de Monte Agraço,"63,7","77,5","71,0","76,5","77,9","84,1","95,5","103,1","103,4",
Município,Torres Vedras,"78,3","86,2","83,5","93,7","96,9","97,8","94,1","93,2","95,3",
Município,Águeda,"71,1","82,3","75,9","79,1","78,0","85,2","86,5","86,1","86,5",
Município,Albergaria-a-Velha,"56,7","68,5","71,0","74,9","73,1","80,2","83,4","83,7","84,5",
Município,Anadia,"60,5","73,6","70,9","68,7","70,6","76,3","81,1","79,6","78,7",
Município,Aveiro,"131,0","127,2","126,3","134,0","134,8","126,7","123,5","125,1","123,1",
Município,Estarreja,"67,6","63,7","68,4","73,1","74,8","80,1","83,0","82,5","82,1",
Município,Ílhavo,"74,2","72,8","95,0","84,8","82,8","89,4","88,7","88,2","88,6",
Município,Murtosa,"67,3","57,1","65,6","64,0","67,3","69,8","71,1","69,4","69,3",
Município,Oliveira do Bairro,"66,2","72,8","75,4","75,4","75,3","81,8","82,2","81,0","79,7",
Município,Ovar,"65,7","74,2","81,4","85,0","83,5","87,3","88,6","89,6","88,9",
Município,Sever do Vouga,"55,8","58,1","57,6","62,6","65,8","71,5","75,4","74,1","74,0",
Município,Vagos,"47,0","58,6","63,7","61,1","62,7","70,0","73,6","69,0","72,1",
